title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
Grand Theft Auto V,Action,Rockstar Games,Rockstar North,"PS3, PS4, X360, XOne",64.29,26.19,1.66,28.14,8.32,93.67,2013-09-17,4
Call of Duty: Modern Warfare 3,Shooter,Activision,Infinity Ward,"PC, PS3, Wii, X360",30.71,15.57,0.62,11.26,3.26,75.00,2011-11-08,4
Call of Duty: Black Ops,Shooter,Activision,Treyarch,"PC, PS3, Wii, X360",30.40,17.15,0.59,9.41,3.27,83.75,2010-11-09,4
Call of Duty: Black Ops II,Shooter,Activision,Treyarch,"PC, PS3, WiiU, X360",29.59,14.12,0.72,11.08,3.67,83.33,2012-11-13,4
Call of Duty: Ghosts,Shooter,Activision,Infinity Ward,"PC, PS3, PS4, WiiU, X360, XOne",28.80,15.06,0.49,9.60,3.65,78.33,2013-11-05,6
Call of Duty: Black Ops 3,Shooter,Activision,Treyarch,"PC, PS3, PS4, X360, XOne",26.72,12.82,0.50,9.76,3.63,81.00,2015-11-06,5
Call of Duty: Modern Warfare 2,Shooter,Activision,Infinity Ward,"PC, PS3, X360",25.02,13.54,0.46,8.08,2.95,93.33,2009-11-10,3
Grand Theft Auto IV,Action,Rockstar Games,Rockstar North,"PS3, X360",21.66,11.59,0.58,6.84,2.66,100.00,2008-04-29,2
Call of Duty: WWII,Shooter,Activision,Sledgehammer Games,"PC, PS4, XOne",19.82,8.49,0.40,8.23,2.70,81.00,2017-11-03,3
Red Dead Redemption 2,Action-Adventure,Rockstar Games,Rockstar Games,"PS4, XOne",19.71,9.02,0.21,7.68,2.80,98.00,2018-10-26,2
The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,Bethesda Game Studios,"PC, PS3, X360",19.36,8.85,0.35,7.76,2.40,91.67,2011-11-11,3
FIFA 15,Sports,EA Sports,EA Canada,"3DS, PC, PS3, PS4, PSV, Wii, X360, XOne",18.03,3.19,0.15,12.45,2.21,73.60,2014-09-23,8
Battlefield 3,Shooter,Electronic Arts,Dice,"PC, PS3, X360",17.32,8.22,0.41,6.50,2.19,86.33,2011-10-25,3
FIFA 14,Sports,EA Sports,EA Canada,"3DS, PC, PS3, PS4, PSP, PSV, Wii, X360, XOne",17.31,2.88,0.21,12.14,2.09,0.00,2013-11-15,9
Call of Duty 4: Modern Warfare,Shooter,Activision,Infinity Ward,"PC, PS3, X360",17.28,9.11,0.41,5.78,1.98,94.67,2007-11-05,3
FIFA 17,Sports,Electronic Arts,EA Canada,"PC, PS3, PS4, X360, XOne",17.02,2.64,0.16,12.07,2.15,88.50,2016-09-27,5
FIFA 18,Sports,EA Sports,EA Vancouver,"NS, PC, PS3, PS4, X360, XOne",16.92,2.71,0.29,11.78,2.13,75.25,2017-09-29,6
Grand Theft Auto: Vice City,Action,Rockstar Games,Rockstar North,"PC, PS2",16.19,8.41,0.47,5.52,1.78,93.00,2003-05-12,2
FIFA 16,Sports,EA Sports,EA Canada,"PC, PS3, PS4, X360, XOne",15.82,3.16,0.12,10.56,1.99,87.00,2015-09-22,5
FIFA 13,Sports,EA Sports,EA Canada,"3DS, PC, PS3, PSP, Wii, WiiU, X360",15.36,2.67,0.18,10.11,2.42,70.00,2012-11-18,7
LEGO Star Wars: The Complete Saga,Action,LucasArts,Traveller's Tales,"DS, PS3, Wii, X360",15.33,8.95,0.00,4.82,1.57,79.33,2007-11-06,4
Battlefield 4,Shooter,Electronic Arts,EA DICE,"PC, PS3, PS4, X360, XOne",14.60,6.57,0.48,5.79,1.78,85.67,2013-11-15,5
Call of Duty: Black Ops IIII,Shooter,Activision,Treyarch,"PC, PS4, XOne",14.30,7.37,0.50,4.47,1.96,0.00,2018-10-12,3
Call of Duty: Infinite Warfare,Shooter,Activision,Infinity Ward,"PC, PS4, XOne",13.60,6.14,0.19,5.46,1.83,79.00,2016-11-04,3
LEGO Batman: The Videogame,Adventure,Warner Bros. Interactive,Traveller's Tales,"DS, PC, PS2, PS3, PSP, Wii, X360",13.55,7.67,0.00,3.95,1.91,75.29,2008-09-23,7
Fallout 4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,"PS4, XOne",13.51,5.85,0.29,5.59,1.79,85.00,2015-11-10,2
Call of Duty: Advanced Warfare,Shooter,Activision,Sledgehammer Games,"PC, PS4, XOne",13.17,6.26,0.15,5.05,1.73,84.67,2014-11-04,3
Battlefield 1,Shooter,Electronic Arts,EA DICE,"PC, PS4, XOne",13.16,5.87,0.31,5.32,1.66,91.67,2016-10-21,3
Call of Duty: World at War,Shooter,Activision,Treyarch,"PC, PS3, X360",13.11,7.65,0.00,3.89,1.57,85.00,2008-11-10,3
Grand Theft Auto III,Action,Rockstar Games,DMA Design,"PC, PS2",13.11,6.99,0.30,4.52,1.30,93.00,2002-05-20,2
Red Dead Redemption,Action,Rockstar Games,Rockstar San Diego,"PS3, X360",13.07,6.59,0.26,4.61,1.60,95.00,2011-10-11,2
FIFA Soccer 12,Sports,EA Sports,EA Canada,"3DS, PC, PS2, PS3, PSP, Wii, X360",13.06,2.08,0.15,8.51,2.31,86.25,2011-09-27,7
Assassin's Creed III,Action-Adventure,Ubisoft,Ubisoft Montreal,"PC, PS3, WiiU, X360",13.06,6.25,0.19,5.00,1.63,83.67,2012-11-18,4
Star Wars Battlefront (2015),Shooter,Electronic Arts,EA DICE,"PC, PS4, XOne",12.67,5.93,0.25,4.78,1.72,71.67,2015-11-17,3
FIFA 19,Sports,Electronic Arts,EA Sports,"NS, PS3, PS4, X360, XOne",12.22,1.58,0.16,8.93,1.56,59.00,2018-09-28,5
LEGO Indiana Jones: The Original Adventures,Adventure,LucasArts,Traveller's Tales,"DS, PC, PS2, PS3, PSP, Wii, X360",11.93,6.77,0.00,3.18,2.02,76.50,2008-06-03,7
Assassin's Creed II,Action,Ubisoft,Ubisoft Montreal,"PC, PS3, X360",11.41,5.69,0.29,3.95,1.45,88.67,2010-03-09,3
Assassin's Creed IV: Black Flag,Action-Adventure,Ubisoft,Ubisoft Montreal,"PC, PS3, PS4, WiiU, X360",11.39,4.72,0.20,4.99,1.51,85.00,2013-11-15,5
Grand Theft Auto: Liberty City Stories,Action,Rockstar Games,Rockstar Leeds,"PS2, PSP",11.26,4.46,0.31,4.23,2.24,85.50,2006-06-06,2
Destiny,Shooter,Activision,Bungie,"PS3, PS4, XOne",10.84,5.39,0.29,3.64,1.52,83.00,2014-09-09,3
FIFA Soccer 11,Sports,EA Sports,EA Canada,"PS2, PS3, Wii, X360",10.44,1.69,0.08,6.65,2.00,81.33,2010-09-28,4
Need for Speed Underground 2,Racing,Electronic Arts,EA Black Box,"GC, PC, PS2, XB",10.39,4.79,0.09,4.27,1.23,81.50,2004-11-09,4
Assassin's Creed,Action,Ubisoft,Ubisoft Montreal,"PS3, X360",10.38,5.19,0.16,3.65,1.38,82.00,2007-11-13,2
Batman: Arkham City,Action,Warner Bros. Interactive,Rocksteady Studios,"PS3, X360",10.29,5.71,0.15,3.17,1.26,95.50,2011-10-18,2
FIFA Soccer 10,Sports,EA Sports,EA Canada,"PC, PS2, PS3, PSP, Wii, X360",10.14,1.82,0.07,5.85,2.41,85.25,2009-10-02,6
Need for Speed Underground,Racing,Electronic Arts,EA Black Box,"GC, PS2, XB",10.12,5.05,0.09,3.86,1.12,86.00,2003-11-17,3
Halo: Reach,Shooter,Microsoft Game Studios,Bungie,X360,9.97,7.08,0.08,2.01,0.80,93.00,2010-09-14,1
Halo 4,Shooter,Microsoft Studios,343 Industries,X360,9.96,6.72,0.04,2.36,0.83,0.00,2012-11-06,1
Fallout 3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,"PC, PS3, X360",9.94,5.61,0.16,3.02,1.14,89.33,2008-10-28,3
Watch Dogs,Action-Adventure,Ubisoft,Ubisoft Montreal,"PC, PS3, PS4, WiiU, X360, XOne",9.70,3.86,0.22,4.37,1.27,0.00,2014-11-18,6
FIFA Soccer 08,Sports,EA Sports,EA Canada,"DS, PC, PS2, PS3, PSP, Wii, X360",9.49,1.96,0.04,3.97,3.53,82.00,2007-10-08,7
Assassin's Creed: Revelations,Action,Ubisoft,Ubisoft Montreal,"PC, PS3, X360",9.21,3.85,0.14,3.99,1.24,83.50,2011-11-15,3
Just Dance 4,Music,Ubisoft,Ubisoft,"PS3, Wii, WiiU, X360",8.93,5.42,0.00,2.65,0.85,0.00,2012-10-09,4
Medal of Honor: Frontline,Shooter,Electronic Arts,EA Los Angeles,"GC, PS2, XB",8.91,4.39,0.17,3.30,1.07,85.00,2002-11-10,3
Resident Evil 5,Action,Capcom,Capcom,"PS3, PS4, X360, XOne",8.74,4.18,1.21,2.35,0.99,86.00,2016-07-12,4
Madden NFL 06,Sports,EA Sports,EA Tiburon,"GC, PS2, PSP, X360, XB",8.68,7.40,0.02,0.40,0.85,83.50,2005-08-08,5
Call of Duty: Advanced Warfare,Shooter,Activision,High Moon Studios,"PS3, X360",8.61,4.40,0.20,2.94,1.08,91.00,2014-11-04,2
Need for Speed: ProStreet,Racing,Electronic Arts,EA Black Box,"DS, PC, PS2, PS3, PSP, Wii, X360",8.55,3.34,0.10,2.53,2.57,66.33,2007-11-13,7
Far Cry 4,Shooter,Ubisoft,Ubisoft Montreal,"PC, PS3, PS4, X360, XOne",8.55,3.02,0.22,4.23,1.09,84.67,2014-11-18,5
Pro Evolution Soccer 2008,Sports,Konami,Konami,"DS, PC, PS2, PS3, PSP, Wii, X360",8.48,0.29,1.30,3.38,3.51,77.00,2008-03-11,7
LEGO Harry Potter: Years 1-4,Adventure,Warner Bros. Interactive,Traveller's Tales,"DS, PS3, PSP, Wii, X360",8.41,4.00,0.00,3.43,0.98,78.40,2010-06-29,5
NBA 2K16,Sports,2K Sports,Visual Concepts,"PC, PS3, PS4, X360, XOne",8.31,5.97,0.10,1.05,1.21,85.00,2015-09-29,5
Assassin's Creed: Unity,Action,Ubisoft,Ubisoft Montreal,"PC, PS4, XOne",8.28,3.79,0.09,3.37,1.03,0.00,2014-11-11,3
Overwatch,Shooter,Blizzard Entertainment,Blizzard Entertainment,"PC, PS4, XOne",8.18,3.84,0.17,3.12,1.05,90.00,2016-05-24,3
Madden NFL 08,Sports,EA Sports,EA Tiburon,"DS, GC, PC, PS2, PS3, PSP, Wii, X360, XB",8.14,7.13,0.00,0.23,0.78,78.67,2007-08-14,9
Lego Marvel Super Heroes,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,"PS3, PS4, WiiU, X360, XOne",8.12,3.54,0.05,3.52,0.99,0.00,2013-11-15,5
Mario & Sonic at the Olympic Winter Games,Sports,Sega,Sega,"DS, Wii",8.01,3.08,0.49,3.60,0.85,72.00,2009-10-13,2
The Sims 3,Simulation,Electronic Arts,EA Redwood Shores,PC,7.96,1.01,0.00,6.46,0.50,85.00,2009-06-02,1
Batman: Arkham Asylum,Action,Eidos Interactive,Rocksteady Studios,"PS3, X360",7.82,4.50,0.09,2.28,0.96,90.50,2009-08-25,2
Namco Museum,Misc,Namco,Mass Media,"GBA, GC, PS2, XB",7.60,5.98,0.05,1.42,0.15,53.00,2001-12-04,4
Madden NFL 16,Sports,EA Sports,EA Tiburon,"PS3, PS4, X360, XOne",7.59,6.00,0.00,0.48,1.13,81.50,2015-08-25,4
Madden NFL 10,Sports,EA Sports,EA Tiburon,"PS2, PS3, PSP, Wii, X360",7.57,6.55,0.00,0.34,0.68,81.50,2009-08-14,5
Final Fantasy XIII,Role-Playing,Square Enix,Square Enix,"PS3, X360",7.54,3.05,1.88,1.90,0.72,80.50,2010-03-09,2
Tomb Raider II,Adventure,Eidos Interactive,Core Design Ltd.,"PC, PS",7.53,3.21,0.20,3.71,0.41,79.00,1997-10-31,2
Tom Clancy's The Division,Shooter,Ubisoft,Massive Entertainment,"PC, PS4, XOne",7.44,3.29,0.16,3.04,0.97,0.00,2016-03-08,3
Madden NFL 15,Sports,EA Sports,EA Tiburon,"PS3, PS4, X360, XOne",7.43,5.83,0.00,0.52,1.08,0.00,2014-08-26,4
Tom Clancy's Rainbow Six: Siege,Shooter,Ubisoft,Ubisoft Montreal,"PC, PS4, XOne",7.37,3.09,0.36,2.99,0.92,0.00,2015-12-01,3
LEGO Star Wars III: The Clone Wars,Action,LucasArts,Traveller's Tales,"3DS, DS, PC, PS3, PSP, Wii, X360",7.33,3.84,0.00,2.71,0.76,71.86,2011-03-22,7
Guitar Hero II,Misc,RedOctane,Harmonix Music Systems,"PS2, X360",7.33,5.82,0.00,0.65,0.85,92.00,2007-04-03,2
Rock Band,Misc,MTV Games,Harmonix Music Systems,"PS2, PS3, Wii, X360",7.28,4.96,0.00,1.36,0.98,86.25,2007-12-18,4
Street Fighter IV,Fighting,Capcom,Capcom / Dimps Corporation,"PC, PS3, X360",7.27,3.94,0.74,1.80,0.80,92.33,2009-07-07,3
WWE SmackDown vs Raw 2008,Fighting,THQ,Yuke's Media Creations,"PS2, PS3, PSP, Wii, X360",7.27,3.29,0.02,1.85,2.13,73.00,2007-11-13,5
NBA 2K14,Sports,2K Sports,Visual Concepts,"PS3, PS4, X360, XOne",7.27,5.19,0.05,1.00,1.02,0.00,2013-10-01,4
NBA 2K15,Sports,2K Sports,Visual Concepts,"PS3, PS4, X360, XOne",7.26,5.14,0.03,1.06,1.03,0.00,2014-10-07,4
Fallout: New Vegas,Role-Playing,Bethesda Softworks,Obsidian Entertainment,"PS3, X360",7.25,4.21,0.14,2.07,0.83,82.00,2010-10-19,2
Crash Bandicoot: The Wrath of Cortex,Platform,Universal Interactive,Traveller's Tales,"GC, PS2, XB",7.24,3.12,0.24,2.98,0.91,64.50,2002-04-15,3
The Sims 3,Simulation,Electronic Arts,The Sims Studio,"3DS, DS, PS3, Wii, X360",7.24,3.30,0.05,3.09,0.79,73.00,2010-11-15,5
L.A. Noire,Adventure,Rockstar Games,Team Bondi,"NS, PS3, PS4, X360, XOne",7.24,3.37,0.14,2.85,0.89,87.00,2017-11-14,5
Far Cry 3,Shooter,Ubisoft,Ubisoft Montreal,"PC, PS3, X360",7.17,2.48,0.12,3.76,0.81,0.00,2012-12-04,3
Battlefield: Bad Company 2,Shooter,Electronic Arts,EA Digital Illusions CE,"PC, PS3, X360",7.16,3.63,0.12,2.65,0.77,89.00,2010-03-02,3
Madden NFL 09,Sports,EA Sports,EA Tiburon,"DS, PS2, PS3, PSP, X360, XB",7.13,6.07,0.00,0.31,0.74,80.00,2008-08-12,6
Spider-Man: The Movie,Action,Activision,Treyarch,"GC, PS2, XB",7.07,4.64,0.04,2.06,0.32,78.33,2002-04-15,3
The Simpsons: Hit & Run,Racing,VU Games,Radical Entertainment,"GC, PS2, XB",7.04,3.20,0.00,2.97,0.89,79.50,2003-09-16,3
Assassin's Creed: Brotherhood,Action,Ubisoft,Ubisoft Montreal,"PC, PS3, X360",6.97,4.90,0.14,1.30,0.64,89.67,2010-11-16,3
Madden NFL 2005,Sports,EA Sports,EA Tiburon,"GC, PS2, XB",6.95,6.33,0.01,0.43,0.18,93.50,2004-08-09,3
Borderlands 2,Shooter,2K Games,Gearbox Software,"PC, PS3, PSV, X360",6.95,3.71,0.15,2.23,0.87,0.00,2014-05-06,4
Just Dance 2014,Music,Ubisoft,Ubisoft Paris,"PS3, PS4, Wii, WiiU, X360, XOne",6.90,3.69,0.00,2.54,0.68,75.60,2013-10-08,6
PES 2009: Pro Evolution Soccer,Sports,Konami,Konami,"PC, PS2, PS3, PSP, Wii, X360",6.87,0.50,1.00,2.77,2.62,78.00,2008-11-11,6
Madden NFL 2004,Sports,EA Sports,EA Tiburon,"GC, PS2, XB",6.83,5.68,0.01,0.38,0.77,93.50,2003-08-12,3
FIFA Soccer 09,Sports,Electronic Arts,EA Canada,"PC, PS2, PS3, X360",6.83,1.36,0.06,2.98,2.43,86.50,2008-10-14,4
Need for Speed: Most Wanted,Racing,Electronic Arts,EA Canada,"DS, GBA, GC, PC, PS2, XB",6.78,3.44,0.08,2.68,0.58,85.00,2005-11-15,6
Guitar Hero III: Legends of Rock,Misc,RedOctane,Neversoft,"PS3, X360",6.78,4.59,0.03,1.44,0.72,84.50,2007-10-28,2
Madden NFL 13,Sports,EA Sports,EA Tiburon,"PS3, PSV, Wii, WiiU, X360",6.74,5.61,0.00,0.40,0.74,74.25,2012-11-18,5
Uncharted 2: Among Thieves,Action,Sony Computer Entertainment,Naughty Dog,PS3,6.74,3.28,0.21,2.22,1.02,95.00,2009-10-13,1
Medal of Honor: Rising Sun,Shooter,Electronic Arts,EA Los Angeles,"GC, PS2, XB",6.72,3.07,0.13,2.68,0.86,62.50,2003-11-11,3
Madden NFL 11,Sports,EA Sports,EA Tiburon,"PS2, PS3, PSP, Wii, X360",6.71,5.88,0.00,0.29,0.54,78.33,2010-08-10,5
Destiny 2,Shooter,Activision,Bungie,"PC, PS4, XOne",6.65,3.67,0.10,1.96,0.93,0.00,2017-09-06,3
Assassin's Creed Origins,Action,Ubisoft,Ubisoft Montreal,"PS4, XOne",6.53,2.56,0.11,3.03,0.85,0.00,2017-10-27,2
Star Wars Battlefront II (2017),Shooter,Electronic Arts,EA DICE,"PC, PS4, XOne",6.50,2.87,0.12,2.60,0.90,0.00,2017-11-17,3
Madden NFL 17,Sports,EA Sports,EA Tiburon,"PS3, PS4, X360, XOne",6.44,4.96,0.00,0.51,0.95,83.00,2016-08-23,4
Need for Speed Carbon,Racing,Electronic Arts,EA Black Box,"GC, PC, PS2, PS3, Wii, X360, XB",6.38,3.54,0.12,2.12,0.58,76.14,2006-11-17,7
NBA 2K13,Sports,2K Sports,Visual Concepts,"PC, PS3, PSP, Wii, WiiU, X360",6.35,4.80,0.06,0.76,0.72,85.50,2012-10-02,6
Minecraft,Misc,Sony Computer Entertainment,Mojang,PS4,6.33,1.89,0.35,3.13,0.96,94.00,2014-10-07,1
NBA 2K17,Sports,2K Sports,Visual Concepts,"PC, PS3, PS4, X360, XOne",6.28,4.40,0.05,0.91,0.93,89.00,2016-09-16,5
Driver,Action,GT Interactive,Reflections Interactive,PS,6.27,3.11,0.02,2.80,0.33,85.00,1999-06-30,1
The Sims 4,Simulation,Electronic Arts,Maxis,"PC, PS4, XOne",6.22,2.06,0.01,3.56,0.59,70.00,2014-09-02,3
Final Fantasy XV,Role-Playing,Square Enix,Square Enix,"PS4, XOne",6.21,2.53,1.06,1.83,0.79,81.00,2016-11-29,2
LEGO Star Wars II: The Original Trilogy,Action,LucasArts,Traveller's Tales,"GC, PC, PS2, PSP, X360, XB",6.16,4.06,0.01,1.48,0.61,83.33,2006-09-12,6
LEGO Star Wars: The Video Game,Action,Eidos Interactive,Traveller's Tales,"GC, PC, PS2, XB",6.12,3.90,0.01,1.71,0.50,79.00,2005-04-02,4
Gran Turismo (PSP),Racing,Sony Computer Entertainment,Polyphony Digital,"PSN, PSP",6.09,0.94,0.62,2.50,2.02,78.00,2009-10-01,2
Grand Theft Auto: Vice City Stories,Action,Rockstar Games,Rockstar Leeds,"PS2, PSP",6.05,2.48,0.19,2.06,1.32,84.00,2007-03-05,2
Minecraft,Misc,Sony Computer Entertainment America,Mojang,PS3,6.05,2.21,0.00,2.86,0.99,0.00,2014-05-16,1
NBA 2K18,Sports,2K Sports,Visual Concepts,"NS, PS3, PS4, X360, XOne",5.99,4.25,0.08,0.78,0.86,74.60,2017-09-19,5
Pro Evolution Soccer 2010,Sports,Konami,Konami,"PC, PS2, PS3, PSP, Wii, X360",5.98,0.73,0.87,2.64,1.73,73.25,2009-11-03,6
Toy Story 3: The Video Game,Action,Disney Interactive Studios,Avalanche Software,"DS, PS3, PSP, Wii, X360",5.96,2.71,0.02,2.49,0.73,75.00,2010-06-15,5
Medal of Honor,Shooter,Electronic Arts,EA Los Angeles,"PC, PS3, X360",5.95,3.06,0.11,2.07,0.71,70.00,2010-10-12,3
The Lord of the Rings: The Two Towers,Action,Electronic Arts,Stormfront Studios,"GC, PS2, XB",5.91,2.80,0.08,2.30,0.74,83.00,2002-10-21,3
Tom Clancy's Splinter Cell,Action,Ubisoft,Ubisoft,"GC, PS2, XB",5.90,3.18,0.00,2.20,0.54,93.00,2003-04-08,3
Tony Hawk's Underground,Sports,Activision,Neversoft Entertainment,"GC, PS2, XB",5.87,3.68,0.01,1.68,0.49,88.50,2003-10-27,3
Need for Speed: Undercover,Racing,Electronic Arts,EA Vancouver,"PC, PS2, PS3, Wii, X360",5.87,2.08,0.09,2.17,1.57,61.00,2008-11-17,5
Tony Hawk's Pro Skater 3,Sports,Activision,Neversoft Entertainment,"GC, PS2, XB",5.78,3.64,0.01,1.64,0.50,91.00,2002-03-04,3
Borderlands,Shooter,2K Games,Gearbox Software,"PC, PS3, X360",5.77,3.66,0.03,1.47,0.62,82.67,2009-10-20,3
Need for Speed: Most Wanted (2012),Racing,Electronic Arts,Criterion Games,"PC, PS3, PSV, WiiU, X360",5.75,1.79,0.08,3.03,0.85,82.60,2013-03-19,5
Tekken 2,Fighting,Namco,Namco,PS,5.74,2.26,1.36,1.89,0.23,91.00,1996-08-25,1
Mass Effect 3,Role-Playing,Electronic Arts,BioWare,"PC, PS3, WiiU, X360",5.74,3.13,0.06,1.99,0.57,92.00,2012-03-06,4
Mortal Kombat (2011),Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,"PS3, PSV, X360",5.73,4.04,0.00,1.00,0.70,86.33,2012-05-02,3
Cooking Mama,Simulation,Majesco,Office Create,DS,5.66,3.09,0.07,1.92,0.58,66.00,2006-09-12,1
Tomb Raider,Action,Eidos Interactive,Core Design Ltd.,"PC, PS",5.66,3.25,0.13,2.04,0.24,88.00,1996-11-14,2
Madden NFL 2002,Sports,EA Sports,EA Sports,"GC, PS, PS2, XB",5.66,4.28,0.01,0.83,0.56,86.00,2001-08-13,4
Harry Potter and the Chamber of Secrets,Adventure,Electronic Arts,Eurocom Entertainment Software,"GBA, GC, PS2, XB",5.65,2.91,0.09,2.08,0.56,72.00,2002-11-14,4
Madden NFL 12,Sports,EA Sports,EA Tiburon,"PS3, PSP, Wii, X360",5.64,4.98,0.00,0.26,0.39,75.33,2011-08-30,4
Saints Row: The Third,Action,THQ,Volition Inc.,"PC, PS3, X360",5.63,2.28,0.25,2.36,0.72,83.00,2011-11-15,3
Star Wars Battlefront,Shooter,LucasArts,Pandemic Studios,"PC, PS2, XB",5.60,3.25,0.03,1.81,0.53,81.00,2004-09-20,3
NBA 2K12,Sports,2K Sports,Visual Concepts,"PC, PS3, PSP, Wii, X360",5.55,4.54,0.06,0.52,0.42,88.67,2011-10-04,5
Fight Night Round 3,Fighting,EA Sports,EA Chicago,"PS2, PS3, PSP, X360, XB",5.55,3.93,0.02,1.09,0.51,79.00,2006-12-05,5
The Simpsons Game,Platform,Electronic Arts,EA Redwood Shores,"PS2, PS3, PSP, Wii, X360",5.53,1.96,0.00,1.78,1.79,68.00,2007-11-05,5
Winning Eleven: Pro Evolution Soccer 2007,Sports,Konami,Konami Computer Entertainment Tokyo,"DS, PC, PS2, PSP, X360",5.53,0.20,1.34,3.12,0.88,85.00,2007-06-01,5
Forza Motorsport 3,Racing,Microsoft Game Studios,Turn 10 Studios,X360,5.50,2.99,0.10,1.90,0.51,92.00,2009-10-27,1
Crash Bandicoot N. Sane Trilogy,Platform,Activision,Vicarious Visions,"PS4, XOne",5.48,1.32,0.07,3.29,0.79,0.00,2018-06-29,2
Sega Superstars Tennis,Sports,Sega,Sumo Digital,"DS, PS2, PS3, Wii, X360",5.47,2.55,0.00,2.08,0.84,67.60,2008-03-18,5
NBA 2K11,Sports,2K Sports,Visual Concepts,"PC, PS2, PS3, PSP, Wii, X360",5.45,4.65,0.04,0.35,0.42,88.00,2010-10-05,6
Star Wars Battlefront II,Shooter,LucasArts,Pandemic Studios,"PC, PS2, XB",5.44,3.43,0.03,1.55,0.45,85.00,2005-11-01,3
Minecraft,Misc,Microsoft Studios,Mojang,XOne,5.43,3.23,0.00,1.71,0.49,0.00,2014-11-18,1
Fable III,Role-Playing,Microsoft Game Studios,Lionhead Studios,"PC, X360",5.43,3.70,0.05,1.26,0.42,74.00,2011-05-17,2
Need for Speed: Hot Pursuit,Racing,Electronic Arts,Criterion Games,"PC, PS3, X360",5.38,2.20,0.03,2.40,0.75,88.67,2010-11-16,3
Skylanders: Spyro's Adventure,Action,Activision,Toys for Bob,"3DS, PC, PS3, Wii, X360",5.38,2.65,0.00,2.12,0.61,80.00,2011-10-16,5
Spider-Man 2,Action,Activision,Treyarch,"GC, PS2, XB",5.37,3.22,0.02,1.63,0.49,77.67,2004-06-28,3
Need for Speed: Shift,Racing,Electronic Arts,Slightly Mad Studios,"PC, PS3, PSP, X360",5.37,1.58,0.06,2.79,0.96,82.33,2009-09-15,4
The LEGO Movie Videogame,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,"3DS, PS3, PS4, PSV, WiiU, X360, XOne",5.35,2.35,0.12,2.24,0.61,60.00,2014-02-07,7
Hot Shots Golf,Sports,Sony Computer Entertainment,Camelot Software Planning,PS,5.35,0.55,4.26,0.37,0.18,0.00,1998-05-05,1
MySims,Simulation,Electronic Arts,EA Redwood Shores,"DS, PC, Wii",5.34,2.48,0.12,2.16,0.57,69.00,2007-09-18,3
Rock Band 2,Misc,MTV Games,Harmonix Music Systems,"PS2, PS3, Wii, X360",5.31,4.13,0.00,0.68,0.50,87.50,2008-09-14,4
Assassin's Creed Syndicate,Action,Ubisoft,Ubisoft Quebec,"PC, PS4, XOne",5.30,1.76,0.08,2.76,0.69,86.00,2015-11-19,3
Call of Duty 3,Shooter,Activision,Treyarch,"PS2, PS3, X360",5.28,2.98,0.05,1.58,0.68,79.67,2006-11-07,3
Mortal Kombat X,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,"PC, PS4, XOne",5.28,3.29,0.00,1.21,0.79,0.00,2015-04-14,3
Madden NFL 2003,Sports,EA Sports,EA Tiburon,"GC, PS2, XB",5.28,4.36,0.01,0.32,0.60,92.50,2002-08-12,3
Dragon Age: Inquisition,Role-Playing,Electronic Arts,BioWare Edmonton,"PC, PS3, PS4, X360, XOne",5.25,2.71,0.14,1.70,0.68,86.00,2014-11-18,5
Need for Speed Rivals,Racing,Electronic Arts,Ghost Games,"PC, PS3, PS4, X360, XOne",5.20,1.95,0.09,2.46,0.70,0.00,2013-11-15,5
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,Bethesda Softworks,Bethesda Softworks,"PS4, XOne",5.19,2.37,0.08,2.03,0.71,82.00,2016-10-28,2
Doom (2016),Shooter,Bethesda Softworks,id Software,"NS, PC, PS4, XOne",5.18,2.04,0.05,2.44,0.66,82.00,2017-11-10,4
Tony Hawk's Pro Skater 4,Sports,Activision,Neversoft Entertainment,"GC, PS2, XB",5.18,3.17,0.01,1.60,0.41,94.00,2002-10-23,3
LEGO Indiana Jones 2: The Adventure Continues,Adventure,LucasArts,Traveller's Tales,"DS, PC, PS3, PSP, Wii, X360",5.16,2.87,0.00,1.69,0.62,65.00,2009-11-17,6
James Bond 007: Agent Under Fire,Shooter,Electronic Arts,EA Redwood Shores,"GC, PS2, XB",5.15,3.11,0.10,1.50,0.46,75.00,2002-03-13,3
Microsoft Flight Simulator,Simulation,Microsoft,Microsoft,PC,5.12,3.22,0.00,1.69,0.20,70.00,1996-10-31,1
The Lord of the Rings: The Return of the King,Action,Electronic Arts,"Hypnos Entertainment, Inc.","GC, PS2, XB",5.11,2.74,0.05,1.80,0.53,86.33,2003-11-05,3
Mario & Sonic at the Olympic Games,Sports,Sega,Sega,DS,5.10,1.63,0.44,2.46,0.57,70.00,2008-01-22,1
Resident Evil 6,Action,Capcom,Capcom,"PS3, X360",5.09,2.00,0.95,1.58,0.55,0.00,2012-10-02,2
