title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
Mario & Wario,Puzzle,Nintendo,Game Freak,SNES,0.49,0.00,0.49,0.00,0.00,0.00,1993-08-27,1
SpongeBob SquarePants: Creature from the Krusty Krab,Platform,THQ,Blitz Games,Wii,0.49,0.44,0.00,0.02,0.04,0.00,2006-11-13,1
Fracture,Shooter,LucasArts,Day 1 Studios,"PS3, X360",0.49,0.26,0.00,0.18,0.06,40.00,2008-10-07,2
Resident Evil: The Mercenaries 3D,Shooter,Capcom,Capcom,3DS,0.49,0.16,0.13,0.17,0.03,63.00,2011-06-28,1
Mario Golf: World Tour,Sports,Nintendo,Camelot Software Planning,3DS,0.49,0.14,0.18,0.15,0.03,81.00,2014-05-02,1
Reign of Fire,Shooter,BAM! Entertainment,Kuju Entertainment,"GC, PS2, XB",0.48,0.28,0.00,0.14,0.03,0.00,2002-10-22,3
Fantastic Four: Rise of the Silver Surfer,Action,2K Games,7 Studios,"DS, PS2, Wii",0.48,0.27,0.00,0.16,0.05,0.00,2007-06-15,3
The King of Fighters '95,Fighting,SNK,SNK Corporation,"NG, SAT",0.48,0.00,0.48,0.00,0.00,0.00,1996-01-01,2
CSI: Deadly Intent,Adventure,Ubisoft,Telltale Games,"Wii, X360",0.48,0.22,0.00,0.21,0.05,0.00,2009-10-27,2
Zapper: One Wicked Cricket!,Platform,Infogrames,Blitz Games,"GBA, GC, PS2, XB",0.48,0.32,0.00,0.14,0.02,58.33,2002-11-03,4
Grand Prix,Racing,Activision,Activision,2600,0.48,0.45,0.00,0.03,0.00,0.00,1982-01-01,1
Children of Mana,Role-Playing,Nintendo,Next Entertainment,DS,0.48,0.16,0.29,0.01,0.01,70.00,2006-11-01,1
Scene It? Lights Camera Action,Misc,Microsoft Game Studios,WXP / Screenlife Games,X360,0.48,0.43,0.00,0.01,0.04,0.00,2007-11-06,1
Rayman Raving Rabbids: TV Party,Misc,Ubisoft,Ubisoft Casablanca,DS,0.48,0.44,0.00,0.01,0.04,0.00,2008-11-18,1
Fortune Street,Misc,Nintendo,Square Enix,Wii,0.48,0.25,0.17,0.03,0.03,0.00,2011-12-05,1
Hunter: The Reckoning,Action,Interplay,High Voltage Software,"GC, XB",0.48,0.36,0.00,0.10,0.01,74.50,2002-11-18,2
Crash of the Titans,Action,Sierra Entertainment,Amaze Entertainment,DS,0.48,0.42,0.00,0.02,0.04,0.00,2007-10-25,1
Ultimate I Spy,Adventure,Scholastic Inc.,Scholastic Interactive,Wii,0.48,0.45,0.00,0.00,0.03,0.00,2008-10-29,1
Cabela's Deer Hunt 2005 Season,Sports,Activision,Sand Grain Studios,"PS2, XB",0.48,0.27,0.00,0.16,0.05,0.00,2004-08-26,2
Destroy All Humans! 2,Adventure,THQ,Pandemic Studios,PS2,0.48,0.40,0.00,0.02,0.07,0.00,2006-10-17,1
The Legend of the Mystical Ninja,Adventure,Konami,Konami,SNES,0.48,0.00,0.48,0.00,0.00,0.00,1992-02-01,1
All-Star Baseball 99,Sports,Acclaim Entertainment,Iguana Entertainment,N64,0.48,0.44,0.00,0.04,0.00,0.00,1998-04-30,1
Euro Truck Simulator,Simulation,SCS Software,SCS Software,PC,0.48,0.00,0.00,0.43,0.04,0.00,2013-03-08,1
TimeSplitters: Future Perfect,Shooter,Electronic Arts,Free Radical Design,"GC, PS2, XB",0.48,0.30,0.00,0.14,0.04,84.00,2005-03-21,3
NCAA GameBreaker 2001,Sports,Sony Computer Entertainment,989 Sports,"PS, PS2",0.48,0.25,0.00,0.18,0.04,0.00,2000-12-18,2
Football Manager Handheld 2009,Sports,Sega,Sports Interactive,PSP,0.48,0.00,0.00,0.47,0.02,0.00,2008-11-14,1
Theme Park Roller Coaster,Strategy,Electronic Arts,Bullfrog Productions,PS2,0.48,0.23,0.00,0.18,0.06,79.00,2000-12-04,1
Monster Hunter G,Role-Playing,Capcom,Capcom,"PS2, Wii",0.48,0.00,0.48,0.00,0.00,0.00,2005-01-20,2
Majin and the Forsaken Kingdom,Adventure,Namco Bandai,Game Republic,"PS3, X360",0.48,0.23,0.01,0.17,0.06,70.00,2010-11-23,2
The Godfather (JP sales),Action,Electronic Arts,Headgate,"PS2, X360",0.48,0.39,0.01,0.02,0.06,0.00,2006-09-19,2
Evil Dead: Fistfull of Boomstick,Action,THQ,VIS Entertainment,"PS2, XB",0.48,0.26,0.00,0.17,0.05,0.00,2003-06-17,2
World of Outlaws: Sprint Cars 2002,Racing,Infogrames,Ratbag,PS2,0.48,0.23,0.00,0.18,0.06,0.00,2002-03-26,1
Warriors Orochi 2,Action,KOEI,Omega Force,"PS2, PSP, X360",0.48,0.16,0.23,0.05,0.03,47.33,2008-09-23,3
Harvest Moon 64,Simulation,Natsume,Toy Box Studios,N64,0.48,0.25,0.11,0.06,0.06,78.00,1999-11-30,1
Scrabble 2007 Edition,Puzzle,Ubisoft,WizarBox,DS,0.48,0.00,0.00,0.48,0.00,0.00,2007-10-04,1
